         3228650 function calls (3211275 primitive calls) in 8.901 seconds

   Ordered by: cumulative time
   List reduced from 289 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11413    0.056    0.000    2.825    0.000 /pyplugins/compat/qemu_compat.py:824(_dispatch_hypercall)
    11413    0.053    0.000    2.583    0.000 /pyplugins/apis/hypercall.py:96(dispatch)
    10045    0.071    0.000    2.279    0.000 /pyplugins/hyper/portal.py:532(wrapper)
     8681    0.013    0.000    1.951    0.000 {built-in method builtins.next}
     7998    0.030    0.000    1.697    0.000 /pyplugins/apis/uprobes.py:187(_uprobe_event)
     7998    0.123    0.000    1.658    0.000 /pyplugins/apis/uprobes.py:212(_uprobe_event_inner)
    16677    0.053    0.000    1.087    0.000 /pyplugins/apis/kffi.py:227(read_type_panda)
     3999    0.007    0.000    0.940    0.000 /pyplugins/apis/uprobes.py:261(_uprobe_enter_handler)
     3999    0.007    0.000    0.923    0.000 /pyplugins/apis/uprobes.py:276(_uprobe_return_handler)
    21458    0.068    0.000    0.698    0.000 /pyplugins/apis/mem.py:271(read_bytes_panda)
    21458    0.043    0.000    0.460    0.000 /pyplugins/compat/qemu_compat.py:482(wrapper)
     2043    0.004    0.000    0.432    0.000 /pyplugins/apis/syscalls.py:765(_syscall_return_event)
    17362    0.037    0.000    0.381    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/dwarffi/dffi.py:875(from_buffer)
    23509    0.056    0.000    0.375    0.000 /pyplugins/compat/qemu_compat.py:974(_cpu_memory_rw_debug)
    38297    0.092    0.000    0.296    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/dwarffi/instances.py:709(__getattr__)
     2043    0.014    0.000    0.280    0.000 /pyplugins/apis/syscalls.py:780(_syscall_event)
    17366    0.072    0.000    0.257    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/dwarffi/dffi.py:364(_create_instance)
774875/757513    0.195    0.000    0.255    0.000 {built-in method builtins.isinstance}
    23509    0.097    0.000    0.217    0.000 /pyplugins/compat/qemu_compat.py:959(_call_with_bql)
   117545    0.103    0.000    0.194    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/cffi/api.py:293(cast)
    38978    0.075    0.000    0.188    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/dwarffi/instances.py:475(_read_data)
    34736    0.082    0.000    0.153    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/dwarffi/dffi.py:482(typeof)
    17366    0.126    0.000    0.145    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/dwarffi/instances.py:278(__init__)
    22828    0.064    0.000    0.137    0.000 /pyplugins/compat/qemu_compat.py:359(get_reg)
    17362    0.027    0.000    0.132    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/dwarffi/dffi.py:513(sizeof)
     1368    0.013    0.000    0.125    0.000 /pyplugins/apis/events.py:126(generic_hypercall)
   215091    0.055    0.000    0.097    0.000 {built-in method builtins.getattr}
    11419    0.013    0.000    0.095    0.000 /pyplugins/compat/qemu_compat.py:403(get_arg)
    17362    0.011    0.000    0.092    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/dwarffi/dffi.py:292(_typeof_or_raise)
   126919    0.048    0.000    0.084    0.000 /pyplugins/compat/qemu_compat.py:657(_callback_state)
    11413    0.052    0.000    0.084    0.000 /pyplugins/compat/qemu_compat.py:756(hypercall_plugin)
    23509    0.080    0.000    0.080    0.000 /pyplugins/compat/qemu_compat.py:978(<lambda>)
     1368    0.012    0.000    0.077    0.000 /pyplugins/apis/mem.py:384(read_str_panda)
    23509    0.030    0.000    0.074    0.000 /pyplugins/compat/qemu_compat.py:468(_to_ptr)
    23509    0.028    0.000    0.066    0.000 /pyplugins/compat/qemu_compat.py:955(_guest_addr)
    21458    0.026    0.000    0.062    0.000 /nix/store/w31fd0hdnar7a66q7ji9xxd69vncmjji-python3-3.13.12-env/lib/python3.13/site-packages/cffi/api.py:242(new)
     2043    0.014    0.000    0.062    0.000 /pyplugins/apis/mem.py:293(read_str)
     2047    0.002    0.000    0.061    0.000 /pyplugins/hyper/portal.py:497(_write_portalcmd)
     1641    0.004    0.000    0.061    0.000 /pyplugins/hyperfile/pseudofile_tracker.py:337(_handle_enoent_arg0)
     2047    0.004    0.000    0.059    0.000 /pyplugins/hyper/portal.py:416(_write_memregion_state)
     8681    0.027    0.000    0.057    0.000 /pyplugins/wrappers/ptregs_wrap.py:1544(get_pt_regs_wrapper)
    11413    0.037    0.000    0.055    0.000 /pyplugins/apis/hypercall.py:8(_hypercall_aliases)
     2051    0.006    0.000    0.053    0.000 /pyplugins/apis/mem.py:189(write_bytes_panda)
    45656    0.023    0.000    0.050    0.000 /pyplugins/compat/qemu_compat.py:675(_current_args)
     1364    0.004    0.000    0.048    0.000 /pyplugins/hyper/portal.py:458(_handle_input_state)


